feature,mean_abs_shap
close_position,0.023254865404189206
return_lag_1,0.015156736277514174
macd_hist,0.01352095308223057
intraday_return,0.008672899119400208
hl_range,0.008639148410429943
rel_volume,0.005172872580208727
price_diff,0.004975632776167393
cs_rank_ma_gap_20,0.0037036852119289353
ma_gap_5,0.0021155819238073397
ma_gap_10,0.0013715590765918482
volume_ratio_1,0.0010625941108876398
vol_regime,0.0006187878834675747
volume_ratio_5,0.0005124272595963334
volatility_20,0.0005119922966788401
macd,0.00047635894958571753
momentum_10,0.00044137769976697636
momentum_z_20,0.0003699500678346954
bb_width,0.0002975407336521683
return_lag_10,0.0002576664031077543
cs_rank_rel_volume,0.00024994893988773383
volume_ratio_3,0.00012208889812643435
log_return,0.0
return,0.0
return_5d,0.0
ma_gap_20,0.0
return_lag_3,0.0
return_lag_5,0.0
candlestick_body,0.0
return_lag_2,0.0
momentum_5,0.0
volatility_10,0.0
oc_gap,0.0
trend_strength,0.0
return_10d,0.0
stoch_k,0.0
bb_percent_b,0.0
stoch_d,0.0
atr_14,0.0
macd_signal,0.0
rsi_14,0.0
volume_ratio_10,0.0
volatility_z_20,0.0
return_z_20,0.0
dollar_volume_ratio,0.0
rel_volume_z_20,0.0
market_vol,0.0
market_future_return,0.0
rsi_z_20,0.0
market_return,0.0
cs_rank_return,0.0
market_regime,0.0
cs_rank_momentum_10,0.0
cs_rank_return_5d,0.0
cs_rank_volatility_20,0.0
cs_rank_rsi_14,0.0
cs_rank_macd_hist,0.0
cs_rank_bb_percent_b,0.0
