,intensity_mean_avg,intensity_std_avg,entropy_avg,edge_density_avg,laplacian_var_avg,foreground_ratio_avg,crowd_proxy_avg,temporal_diff_mean_avg,temporal_diff_std_avg,flow_mean_avg,flow_std_avg,flow_q90_avg,flow_max_avg,brightness_drift,motion_peak,abrupt_change_ratio,flow_dir_bin_0,flow_dir_bin_1,flow_dir_bin_2,flow_dir_bin_3,flow_dir_bin_4,flow_dir_bin_5,flow_dir_bin_6,flow_dir_bin_7
intensity_mean_avg,1.0,0.06737416806329738,0.25515340664008374,0.6123373410681712,0.3704526748741969,0.08185478518423711,0.16265517552339892,0.03804633253352439,0.005924308858137557,-0.10069168019219253,-0.1403683336428118,-0.12477255256917603,-0.1818585337947561,0.0791665330268712,-0.12741123863267617,,-0.2669835683436607,-0.20365764811116488,0.14016695475274446,0.1891578291607813,-0.08592381478887215,-0.13984940259351436,-0.019039367683305445,0.1276756958823336
intensity_std_avg,0.06737416806329738,1.0,0.8924638566803241,0.43034695297044184,0.20896434144255172,0.09770763792982161,0.1542204364726196,0.04212717751181892,0.12523000643654764,0.03384929075022714,0.15887222777789212,0.10173961068943077,0.2303540094261674,-0.005613351771551999,-0.07548758656071188,,0.314322748889508,0.584162871520993,0.5782094045079987,0.4076307259656353,-0.17152421828001724,-0.6507648895707282,-0.6733719801159388,-0.6699761348926913
entropy_avg,0.25515340664008374,0.8924638566803241,1.0,0.7341714276386022,0.5442696143634507,0.18523995603419266,0.2861325104890803,0.13835441092771578,0.14543400492252231,0.06040289022824952,0.18826239625557675,0.13962260254784892,0.22641649015497262,0.030439097347151958,-0.03740080660283063,,0.22665560539432775,0.46026087213691347,0.57069121766153,0.5381925387508029,-0.012985278510721118,-0.6357106895376506,-0.7356123502758675,-0.7444087699348704
edge_density_avg,0.6123373410681712,0.43034695297044184,0.7341714276386022,1.0,0.7937165370014324,0.22753501263471237,0.3666070229562748,0.20529451706045332,0.09806647802701461,-0.04099924501000756,-0.007396950596032049,-0.008926993047192093,-0.03273839032797373,0.06652526603814071,-0.07517858444142143,,-0.0099755265340368,0.07812150247583408,0.3645263056866639,0.40684045345790176,0.08414779548292828,-0.3536830105716147,-0.44249601941900885,-0.40434404492098497
laplacian_var_avg,0.3704526748741969,0.20896434144255172,0.5442696143634507,0.7937165370014324,1.0,0.12227021729542048,0.24851933217811234,0.1029911733536503,-0.00929949393281142,-0.1345963294501306,-0.07532882156507298,-0.0818178345220506,-0.09224015267954398,0.015685467569084083,-0.16120125820417844,,-0.016618203902610044,0.029288467802778575,0.1138575723323912,0.42893653383842345,0.271907492200137,-0.1944410533438458,-0.39549301110767593,-0.42658558214106185
foreground_ratio_avg,0.08185478518423711,0.09770763792982161,0.18523995603419266,0.22753501263471237,0.12227021729542048,1.0,0.9886628547169781,0.9853026649939389,0.9554541345059459,0.8498195527393752,0.7605908045371698,0.7658094734684046,0.7481482066802442,-0.06580512144732738,0.6400351341473433,,-0.19429836995639033,-0.33260695873063517,-0.27816829863730563,0.4326782362513711,0.42582606190950084,-0.28857088980741563,-0.12673062725314385,0.0073177695343845505
crowd_proxy_avg,0.16265517552339892,0.1542204364726196,0.2861325104890803,0.3666070229562748,0.24851933217811234,0.9886628547169781,1.0,0.9721766094480134,0.9231773965293795,0.8006903837253845,0.7216649034252686,0.7262275624405318,0.7056842218956622,-0.056644559257301934,0.5924991960123205,,-0.18797878405593996,-0.3061244303764327,-0.21803508274181987,0.4845445625179431,0.4373549068461821,-0.3258505822991847,-0.1963892963741196,-0.06674741106366798
temporal_diff_mean_avg,0.03804633253352439,0.04212717751181892,0.13835441092771578,0.20529451706045332,0.1029911733536503,0.9853026649939389,0.9721766094480134,1.0,0.9518354223649977,0.8655574333360557,0.7728027237933613,0.7838300172814902,0.7499696592449238,-0.08126578713446281,0.6469623171447234,,-0.19582177120203315,-0.3492441137622923,-0.30374518161795505,0.4116284479724256,0.4517836402014067,-0.2661792992235352,-0.1125972502601207,0.025835953701050123
temporal_diff_std_avg,0.005924308858137557,0.12523000643654764,0.14543400492252231,0.09806647802701461,-0.00929949393281142,0.9554541345059459,0.9231773965293795,0.9518354223649977,1.0,0.8639163962898473,0.7927930148365693,0.785349076091182,0.7929338912545619,-0.09702317642612783,0.5923238777433445,,-0.18524772396015074,-0.34475504749861124,-0.2901013299323294,0.4376793299933172,0.3913964302610735,-0.34967883037262965,-0.11648698133695236,0.056476642430360664
flow_mean_avg,-0.10069168019219253,0.03384929075022714,0.06040289022824952,-0.04099924501000756,-0.1345963294501306,0.8498195527393752,0.8006903837253845,0.8655574333360557,0.8639163962898473,1.0,0.9608262698623244,0.9727075266486074,0.9265260059719892,-0.05902479967272942,0.8058396908738483,,-0.145111601039586,-0.24312255527035256,-0.27621781675200374,0.2996249446812517,0.36158091880439674,-0.23198117946128013,-0.08770915169986769,0.05519985360048268
flow_std_avg,-0.1403683336428118,0.15887222777789212,0.18826239625557675,-0.007396950596032049,-0.07532882156507298,0.7605908045371698,0.7216649034252686,0.7728027237933613,0.7927930148365693,0.9608262698623244,1.0,0.9905435450416791,0.9783439752370964,-0.06240260947656967,0.7241113632194984,,-0.1044878135228641,-0.12982587954514282,-0.17524616830517545,0.3682361364949655,0.36851998834947236,-0.2937205235084691,-0.2226042504408224,-0.0944359253642535
